unit_id,unit_title,lesson_id,lesson_title,lesson_activity,lesson_activity_name,lesson_notes,lesson_video_id,lesson_objectives
1,Table based navigation with a single Core Data entity,1,Overview and breaking the Master-Detail template,yes,Questions,https://docs.google.com/presentation/d/16GOkjkN5fEzpAzDOF-gX-nvKv9vMy-NTkGysxXcUtxQ/edit?usp=sharing,ADHPbtQdiWI,"<ul><li></li><li></li><li></li><li></li></ul>"
1,Table based navigation with a single Core Data entity,2,Basic UITableView,yes,Questions,https://docs.google.com/presentation/d/16GOkjkN5fEzpAzDOF-gX-nvKv9vMy-NTkGysxXcUtxQ/edit?usp=sharing,8uvoGJh1Uwg,"<ul><li></li><li></li><li></li><li></li></ul>"
1,Table based navigation with a single Core Data entity,3,Reading MovieQuotes for table display,yes,Questions,https://docs.google.com/presentation/d/16GOkjkN5fEzpAzDOF-gX-nvKv9vMy-NTkGysxXcUtxQ/edit?usp=sharing,OAV-YVLyxPA,"<ul><li></li><li></li><li></li><li></li></ul>"
1,Table based navigation with a single Core Data entity,4,Creating a MovieQuote,yes,Questions,https://docs.google.com/presentation/d/16GOkjkN5fEzpAzDOF-gX-nvKv9vMy-NTkGysxXcUtxQ/edit?usp=sharing,BjqPyUGcOGI,"<ul><li></li><li></li><li></li><li></li></ul>"
1,Table based navigation with a single Core Data entity,5,Empty Message when no rows are present,yes,Questions,https://docs.google.com/presentation/d/16GOkjkN5fEzpAzDOF-gX-nvKv9vMy-NTkGysxXcUtxQ/edit?usp=sharing,Ze2c1qensCg,"<ul><li></li><li></li><li></li><li></li></ul>"
1,Table based navigation with a single Core Data entity,6,Deleting a MovieQuote,yes,Questions,https://docs.google.com/presentation/d/16GOkjkN5fEzpAzDOF-gX-nvKv9vMy-NTkGysxXcUtxQ/edit?usp=sharing,4HaviVGAdII,"<ul><li></li><li></li><li></li><li></li></ul>"
1,Table based navigation with a single Core Data entity,7,MovieQuoteDetailViewController,yes,Questions,https://docs.google.com/presentation/d/16GOkjkN5fEzpAzDOF-gX-nvKv9vMy-NTkGysxXcUtxQ/edit?usp=sharing,6kxuBiM-9kg,"<ul><li></li><li></li><li></li><li></li></ul>"
1,Table based navigation with a single Core Data entity,8,Editing a MovieQuote,yes,Questions,https://docs.google.com/presentation/d/16GOkjkN5fEzpAzDOF-gX-nvKv9vMy-NTkGysxXcUtxQ/edit?usp=sharing,6ZMa5dkmsMg,"<ul><li></li><li></li><li></li><li></li></ul>"
