unit_id,unit_title,lesson_id,lesson_title,lesson_activity,lesson_activity_name,lesson_notes,lesson_video_id,lesson_objectives
1,Welcome to iOS Development,1,Course intro Demo,yes,Questions,https://docs.google.com/presentation/d/1DduW8izI7wXhYwkdcTrxtvf5aAM8mWhJ9MxPwliwlv4/edit?usp=sharing,hlvBaeYLWNI,"<ul><li></li><li></li><li></li><li></li></ul>"
1,Welcome to iOS Development,2,ButtonsAndLabels,yes,Questions,https://docs.google.com/presentation/d/1DduW8izI7wXhYwkdcTrxtvf5aAM8mWhJ9MxPwliwlv4/edit?usp=sharing,h8KJ4Ckp5lQ,"<ul><li></li><li></li><li></li><li></li></ul>"
1,Welcome to iOS Development,3,TouchesViewController,yes,Questions,https://docs.google.com/presentation/d/1DduW8izI7wXhYwkdcTrxtvf5aAM8mWhJ9MxPwliwlv4/edit?usp=sharing,Ojxq57SYa7s,"<ul><li></li><li></li><li></li><li></li></ul>"
1,Welcome to iOS Development,4,StudentTableViewController,yes,Questions,https://docs.google.com/presentation/d/1DduW8izI7wXhYwkdcTrxtvf5aAM8mWhJ9MxPwliwlv4/edit?usp=sharing,0-4zpJ_7xbI,"<ul><li></li><li></li><li></li><li></li></ul>"
1,Welcome to iOS Development,5,Why iOS?,yes,Questions,https://docs.google.com/presentation/d/1DduW8izI7wXhYwkdcTrxtvf5aAM8mWhJ9MxPwliwlv4/edit?usp=sharing,QkqFEciBQuw,"<ul><li></li><li></li><li></li><li></li></ul>"
1,Welcome to iOS Development,6,My short iOS Journey,yes,Questions,https://docs.google.com/presentation/d/1DduW8izI7wXhYwkdcTrxtvf5aAM8mWhJ9MxPwliwlv4/edit?usp=sharing,VaYgoMZs2zs,"<ul><li></li><li></li><li></li><li></li></ul>"
1,Welcome to iOS Development,7,Hello World Lab,yes,Questions,https://docs.google.com/presentation/d/1DduW8izI7wXhYwkdcTrxtvf5aAM8mWhJ9MxPwliwlv4/edit?usp=sharing,1gvgqX4wMGs,"<ul><li></li><li></li><li></li><li></li></ul>"

