id,type,unit_id,title,release_date,now_available
1,U,1,Introduction to Python,,True
2,U,2,Objects Functions and Methods,,True
3,U,3,Accumulators and Functions with Parameters,,True
4,U,4,The Accumulator Pattern,,True
5,U,5,Debugging and Exam Prep,,True
6,U,6,Box and Pointer Diagrams,,True
