id,type,unit_id,title,release_date,now_available
1,U,1,Box and Pointer Diagrams,,True
2,U,2,Implementing Classes,,True
3,U,3,More Implementing Classes,,True
4,U,4,Sequences,,True
5,U,5,More Sequences,,True
6,U,6,Classes and Sequences,,True
7,U,7,Exam 2 Prep,,True
8,U,8,Sequences and Mutation,,True
